genome_id	genome_name	taxon_id	ciprofloxacin	amikacin	colistin	meropenem	ampicillin	tetracycline
2028282.24	Lachnoclostridium sp. strain 33	2028282	Susceptible	Susceptible	Susceptible	Susceptible	Resistant	Resistant
287.5956	Pseudomonas aeruginosa strain CCUG 70744	287	Intermediate	Intermediate	Susceptible	Resistant	Resistant	Resistant
470.1561	Acinetobacter baumannii strain MRSN4119	470	Resistant	Resistant	Resistant	Resistant	Resistant	Resistant
470.1562	Acinetobacter baumannii strain MRSN3941	470	Resistant	Resistant	Resistant	Resistant	Resistant	Resistant
470.1563	Acinetobacter baumannii strain MRSN5540	470	Resistant	Resistant	Susceptible	Resistant	Resistant	Resistant
470.1564	Acinetobacter baumannii strain MRSN6269	470	Resistant	Resistant	Resistant	Resistant	Resistant	Resistant
470.1565	Acinetobacter baumannii strain MRSN6273	470	Resistant	Resistant	Susceptible	Resistant	Resistant	Resistant
470.5040	Acinetobacter baumannii strain CCUG 70743	470	Resistant	Resistant	Susceptible	Resistant	Resistant	Resistant
546.539	Citrobacter freundii strain 131	546	Resistant	Susceptible	Susceptible	Resistant	Resistant	Resistant
550.2109	Enterobacter cloacae strain 156	550	Susceptible	Susceptible	Susceptible	Intermediate	Resistant	Susceptible
550.2110	Enterobacter cloacae strain 174	550	Resistant	Resistant	Susceptible	Resistant	Resistant	Susceptible
550.2111	Enterobacter cloacae strain 189	550	Resistant	Susceptible	Susceptible	Resistant	Resistant	Susceptible
550.2163	Enterobacter cloacae strain SBJ_7612	550	Susceptible	Susceptible	Susceptible	Susceptible	Resistant	Resistant
550.622	Enterobacter cloacae strain MBRL1077	550	Susceptible	Susceptible	Resistant	Resistant	Resistant	Susceptible
562.16466	Escherichia coli strain 5CRE51	562	Resistant	Susceptible	Resistant	Resistant	Resistant	Resistant
562.42655	Escherichia coli strain 160	562	Resistant	Susceptible	Susceptible	Susceptible	Resistant	Resistant
562.42657	Escherichia coli strain 161	562	Resistant	Susceptible	Susceptible	Susceptible	Resistant	Resistant
562.42755	Escherichia coli strain 8	562	Resistant	Resistant	Susceptible	Resistant	Resistant	Resistant
562.58769	Escherichia coli strain ENV49	562	Intermediate	Susceptible	Susceptible	Susceptible	Susceptible	Resistant
562.58770	Escherichia coli strain ENV66	562	Susceptible	Susceptible	Resistant	Susceptible	Resistant	Resistant
562.58771	Escherichia coli strain ENV68	562	Susceptible	Susceptible	Susceptible	Susceptible	Resistant	Resistant
562.58772	Escherichia coli strain ENV76	562	Intermediate	Susceptible	Resistant	Susceptible	Resistant	Resistant
562.58773	Escherichia coli strain ENV103	562	Intermediate	Susceptible	Resistant	Susceptible	Resistant	Resistant
562.58774	Escherichia coli strain ENV190	562	Susceptible	Susceptible	Susceptible	Susceptible	Susceptible	Susceptible
562.58775	Escherichia coli strain ENV210	562	Resistant	Susceptible	Resistant	Susceptible	Resistant	Resistant
562.58776	Escherichia coli strain ENV222	562	Susceptible	Susceptible	Susceptible	Susceptible	Resistant	Resistant
562.58777	Escherichia coli strain ENV225	562	Susceptible	Susceptible	Susceptible	Susceptible	Resistant	Resistant
562.58778	Escherichia coli strain ENV233	562	Susceptible	Susceptible	Susceptible	Susceptible	Susceptible	Susceptible
562.58779	Escherichia coli strain ENV228	562	Susceptible	Susceptible	Susceptible	Susceptible	Susceptible	Susceptible
562.58780	Escherichia coli strain ENV235	562	Susceptible	Susceptible	Resistant	Susceptible	Susceptible	Susceptible
562.58781	Escherichia coli strain ENV316	562	Susceptible	Susceptible	Susceptible	Susceptible	Susceptible	Susceptible
562.58782	Escherichia coli strain ENV317	562	Susceptible	Susceptible	Susceptible	Susceptible	Susceptible	Susceptible
562.58783	Escherichia coli strain ENV323	562	Susceptible	Susceptible	Susceptible	Susceptible	Susceptible	Resistant
562.58784	Escherichia coli strain ENV326	562	Susceptible	Susceptible	Susceptible	Susceptible	Resistant	Resistant
562.58785	Escherichia coli strain ENV388	562	Susceptible	Susceptible	Resistant	Susceptible	Susceptible	Susceptible
562.58786	Escherichia coli strain ENV463	562	Susceptible	Susceptible	Susceptible	Susceptible	Resistant	Resistant
562.58787	Escherichia coli strain ENV663	562	Susceptible	Susceptible	Susceptible	Susceptible	Susceptible	Resistant
562.58788	Escherichia coli strain ENV665	562	Susceptible	Susceptible	Susceptible	Susceptible	Susceptible	Resistant
562.58789	Escherichia coli strain ENV684	562	Susceptible	Susceptible	Resistant	Susceptible	Susceptible	Resistant
562.58790	Escherichia coli strain ENV727	562	Resistant	Susceptible	Susceptible	Susceptible	Susceptible	Resistant
562.58791	Escherichia coli strain ENV704	562	Resistant	Susceptible	Resistant	Susceptible	Resistant	Resistant
562.58792	Escherichia coli strain ENV737	562	Susceptible	Susceptible	Susceptible	Susceptible	Susceptible	Resistant
573.24245	Klebsiella pneumoniae strain 104	573	Resistant	Resistant	Susceptible	Resistant	Resistant	Resistant
573.24253	Klebsiella pneumoniae strain 167	573	Susceptible	Susceptible	Susceptible	Intermediate	Resistant	Susceptible
573.24257	Klebsiella pneumoniae strain 180	573	Susceptible	Susceptible	Susceptible	Susceptible	Resistant	Susceptible
573.24267	Klebsiella pneumoniae strain 24	573	Resistant	Resistant	Susceptible	Resistant	Resistant	Susceptible
573.24290	Klebsiella pneumoniae strain 36	573	Resistant	Resistant	Susceptible	Susceptible	Resistant	Resistant
573.24314	Klebsiella pneumoniae strain 66	573	Resistant	Resistant	Susceptible	Resistant	Resistant	Susceptible
573.25568	Klebsiella pneumoniae strain 24_GR_13	573	Resistant	Intermediate	Susceptible	Resistant	Resistant	Susceptible
573.25569	Klebsiella pneumoniae strain 6_GR_12	573	Resistant	Susceptible	Susceptible	Resistant	Resistant	Resistant
573.5623	Klebsiella pneumoniae strain 18_GR_14	573	Resistant	Intermediate	Resistant	Resistant	Resistant	Susceptible
573.5624	Klebsiella pneumoniae strain 23_GR_12	573	Resistant	Resistant	Resistant	Resistant	Resistant	Resistant
573.5636	Klebsiella pneumoniae strain 16_GR_13	573	Resistant	Resistant	Resistant	Resistant	Resistant	Resistant
573.5638	Klebsiella pneumoniae strain 12_BR_13	573	Resistant	Susceptible	Resistant	Resistant	Resistant	Susceptible
573.5644	Klebsiella pneumoniae strain 5_GR_13	573	Resistant	Susceptible	Resistant	Resistant	Resistant	Resistant
573.5645	Klebsiella pneumoniae strain 3_GR_13	573	Resistant	Resistant	Resistant	Resistant	Resistant	Resistant
573.5646	Klebsiella pneumoniae strain 4_GR_12	573	Resistant	Resistant	Resistant	Resistant	Resistant	Resistant
573.5647	Klebsiella pneumoniae strain 2_GR_12	573	Resistant	Resistant	Resistant	Resistant	Resistant	Resistant
573.5763	Klebsiella pneumoniae strain 19_GR_14	573	Resistant	Intermediate	Resistant	Resistant	Resistant	Intermediate
573.5764	Klebsiella pneumoniae strain 13_GR_14	573	Resistant	Intermediate	Resistant	Resistant	Resistant	Susceptible
573.5765	Klebsiella pneumoniae strain 22_GR_12	573	Resistant	Intermediate	Susceptible	Resistant	Resistant	Susceptible
573.5766	Klebsiella pneumoniae strain 1_GR_13	573	Resistant	Resistant	Resistant	Resistant	Resistant	Resistant
573.5767	Klebsiella pneumoniae strain 7_GR_13	573	Resistant	Resistant	Resistant	Resistant	Resistant	Susceptible
573.5768	Klebsiella pneumoniae strain 15_GR_13	573	Resistant	Intermediate	Resistant	Resistant	Resistant	Susceptible
573.5769	Klebsiella pneumoniae strain 17_GR_14	573	Resistant	Resistant	Resistant	Resistant	Resistant	Resistant
573.5770	Klebsiella pneumoniae strain 8_GR_13	573	Resistant	Resistant	Resistant	Resistant	Resistant	Resistant
573.5777	Klebsiella pneumoniae strain 14_GR_14	573	Resistant	Intermediate	Resistant	Resistant	Resistant	Susceptible
